Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
vamidothion,1.1440000000000001,-1.446,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
1-Nitropropane,-0.8,-0.816,CCCN(=O)=O
Pentachlorophenol,-4.28,-4.835,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
Chlordane,-6.86,-6.039,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
Heptane,-4.53,-2.97,CCCCCCC
4-hexylresorcinol,-2.59,-3.4930000000000003,c1(O)cc(O)ccc1CCCCCC
Iodomethane,-1.0,-1.646,CI
Kepone,-5.2589999999999995,-5.112,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
"1,7-phenantroline",-2.68,-2.9939999999999998,c1cnc2c(c1)ccc3ncccc23
Perfluidone,-3.8,-4.945,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2
"cis 1,2-Dichloroethylene",-1.3,-1.561,Cl\C=C/Cl
RTI 10,-3.6719999999999997,-2.7710000000000004,O2c1ccccc1N(C)C(=O)c3cccnc23 
Phenylhydrazine,0.07,-1.8659999999999999,NNc1ccccc1
Propionitrile,0.28,-0.26899999999999996,CCC#N
Antipyrene,0.715,-1.733,Cc1cc(=O)n(c2ccccc2)n1C
Diethyldisulfide,-2.42,-2.364,CCSSCC
Acenapthylene,-3.96,-3.682,C1=Cc2cccc3cccc1c23
uric acid,-3.93,-0.541,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
Spironolactone,-4.173,-3.842,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45
3-Ethyl-3-pentanol,-0.85,-1.663,CCC(O)(CC)CC
p-Chloronitrobenzene,-2.92,-2.9010000000000002,Clc1ccc(cc1)N(=O)=O
3-Heptanol ,-1.47,-1.6780000000000002,CCCCC(O)CC
Carbanilide,-3.15,-3.611,O=C(Nc1ccccc1)Nc2ccccc2
diphenamid,-2.98,-3.147,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
Fluvalinate,-8.003,-8.057,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
2-cyanoguanidine,-0.31,0.361,NC(N)=NC#N 
2-Methyl-2-hexanol,-1.08,-1.663,CCCCC(C)(C)O
Atratone,-2.084,-3.185,CCNc1nc(NC(C)C)nc(OC)n1
2-aminoanthracene,-5.17,-3.7889999999999997,Nc3ccc2cc1ccccc1cc2c3 
Carbofuran,-2.8,-3.05,CNC(=O)Oc1cccc2CC(C)(C)Oc12
"2,3',4,4',5-PCB",-7.39,-7.343,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
Monolinuron,-2.57,-2.948,CON(C)C(=O)Nc1ccc(Cl)cc1
4-methoxypteridine,-1.11,-1.589,COc1ncnc2nccnc12 
4-Ethyltoluene,-3.11,-3.3280000000000003,CCc1ccc(C)cc1
2-Pentanone,-0.19,-0.846,CCCC(=O)C
Dialifor,-6.34,-5.026,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
Indan,-3.04,-3.057,C1Cc2ccccc2C1
Tetrachloroethylene,-2.54,-3.063,ClC(=C(Cl)Cl)Cl
"2,3,3',4,4'6-PCB",-7.66,-7.746,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
Etomidate,-4.735,-3.359,CCOC(=O)c1cncn1C(C)c2ccccc2
p-Aminophenol,-0.8,-1.2309999999999999,Nc1ccc(O)cc1
"2,2',4,4',6,6'-PCB",-8.71,-7.178999999999999,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
2-Octanol,-2.09,-2.033,CCCCCCC(C)O
"5,5-Dimethylbarbituric acid",-1.742,-0.556,O=C1NC(=O)NC(=O)C1(C)C
menthol,-2.53,-2.782,CC(C)C1CCC(C)CC1O 
2-Ethyltoluene,-3.21,-3.2960000000000003,CCc1ccccc1C
Ethirimol,-3.028,-2.7319999999999998,CCCCc1c(C)nc(NCC)[nH]c1=O
o-Methoxyphenol,-1.96,-1.9409999999999998,COc1ccccc1O
chlorothiazide,-3.05,-1.7519999999999998,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
Dulcin,-2.17,-2.167,CCOc1ccc(NC(N)=O)cc1
o-Chloroiodobenzene,-3.54,-4.3839999999999995,Clc1ccccc1I
2-Methylphenanthrene,-5.84,-4.87,Cc1ccc2c(ccc3ccccc32)c1
"2,3,4-Trimethylpentane",-4.8,-3.2760000000000002,CC(C)C(C)C(C)C
Medrogestone,-5.27,-4.593,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C
"3,3-Dimethyl-2-butanol",-0.62,-1.2919999999999998,CC(O)C(C)(C)C
"2,2',3,5,5',6-PCB",-7.42,-7.261,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl 
trichlormethiazide,-2.68,-2.98,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl 
probarbital,-2.21,-1.6030000000000002,CCC1(C(C)C)C(=O)NC(=O)NC1=O 
"2,3,4,6-Tetrachlorophenol",-3.1,-4.203,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
Sulfallate,-3.39,-3.2539999999999996,CCN(CC)C(=S)SCC(Cl)=C
4-Methyl-2-pentanone,-0.74,-1.1840000000000002,CC(C)CC(=O)C
Ethanethiol,-0.6,-0.968,CCS
Terbumeton,-3.239,-3.505,CCNc1nc(NC(C)(C)C)nc(OC)n1
Isoprocarb,-2.863,-2.734,CNC(=O)Oc1ccccc1C(C)C
Terbacil,-2.484,-3.033,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C
7-methylpteridine,-0.8540000000000001,-1.24,Cc2cnc1cncnc1n2
1-Methylnaphthalene,-3.7,-3.802,Cc1cccc2ccccc12
1-Phenylethanol,-0.92,-1.919,CC(O)c1ccccc1
Lenacil,-4.593999999999999,-3.355,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
"1,3-Dichlorobenzene",-3.04,-3.5580000000000003,Clc1cccc(Cl)c1
"2,3,3',4,4',5-PCB",-7.82,-7.425,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3,6-Trichlorophenol",-2.64,-3.572,Oc1c(Cl)ccc(Cl)c1Cl
"1,3-Difluorobenzene",-2.0,-2.636,Fc1cccc(F)c1
Progesterone,-4.42,-4.17,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
chlordimeform,-2.86,-3.1639999999999997,CN(C)C=Nc1ccc(Cl)cc1C
thiamylal,-3.46,-3.063,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O 
t-Pentylbenzene,-4.15,-3.867,CC(C)(C)Cc1ccccc1
Fenthion,-4.57,-4.265,COP(=S)(OC)Oc1ccc(SC)c(C)c1
2-Methylbutanol,-0.47,-1.0270000000000001,CCC(C)CO
1-Iodopropane,-2.29,-2.4859999999999998,CCCI
Camphor,-1.96,-2.158,CC1(C)C2CCC1(C)C(=O)C2
Isopropalin,-6.49,-5.306,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O
Chloroacetonitrile,-0.092,-0.44799999999999995,ClCC#N
Isofenphos,-4.194,-4.538,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
Diethyl sulfide,-1.34,-1.598,CCSCC
Naled,-2.28,-3.548,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
Cycloheptyl-5-spirobarbituric acid,-3.168,-1.844,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
"1,4-Diethylbenzene ",-3.75,-3.633,CCc1ccc(CC)cc1
benodanil,-4.21,-4.245,c1c(NC(=O)c2ccccc2(I))cccc1
1-Bromonapthalene,-4.35,-4.434,Brc1cccc2ccccc12
1-Dodecanol,-4.8,-3.523,CCCCCCCCCCCCO
3-Methylphenol,-0.68,-2.313,Cc1cccc(O)c1
2-Bromopropane,-1.59,-1.949,CC(C)Br
2-Methylbutane,-3.18,-2.245,CCC(C)C
"2,4'-PCB",-5.28,-5.142,Clc1ccc(cc1)c2ccccc2Cl 
cortisone acetate,-4.21,-3.426,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C 
p-Chlorobromobenzene,-3.63,-3.928,Clc1ccc(Br)cc1
Cycloheptanol,-0.88,-1.7,OC1CCCCCC1
"1,2,3,4-Tetrahydronapthalene",-4.37,-3.447,C1CCc2ccccc2C1
isophorone,-1.06,-2.015,CC1=CC(=O)CC(C)(C)C1 
d-inositol,0.35,-0.887,OC1C(O)C(O)C(O)C(O)C1O
dibutyl sebacate,-3.8960000000000004,-4.726,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
Methylcyclohexane ,-3.85,-2.891,CC1CCCCC1
Ethyl-p-hydroxybenzoate ,-2.35,-2.761,CCOC(=O)c1ccc(O)cc1
Methylparaben,-1.827,-2.441,COC(=O)c1ccc(O)cc1
Amigdalin,-0.77,-0.9740000000000001,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
Napthalene,-3.6,-3.468,c1ccc2ccccc2c1
"Sparsomycin (3,8mg/ml)",-1.9809999999999999,-1.57,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
"5,6,7,8-tetrahydro-2-naphthol",-1.99,-3.0860000000000003,Oc2ccc1CCCCc1c2 
Chloropicrin,-2.0,-1.8659999999999999,ClC(Cl)(Cl)N(=O)=O
"3,3-Dimethyl-2-butanone",-0.72,-1.25,CC(=O)C(C)(C)C
Thiophenol ,-2.12,-2.758,Sc1ccccc1
"1,1-Dichloroethylene",-1.64,-1.939,ClC(=C)Cl
"3,4-Dimethylphenol",-1.38,-2.6210000000000004,Cc1ccc(O)cc1C
Theophylline,-1.39,-1.452,Cn1c(=O)n(C)c2nc[nH]c2c1=O
"1,3-Dichloropropane",-1.62,-1.618,ClCCCCl
RTI 5,-3.324,-3.471,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
deoxycorticosterone acetate,-4.63,-4.4719999999999995,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
"trans-1,4-Dimethylcyclohexane",-4.47,-3.305,C/C1CCC(\C)CC1
Oxycarboxin,-2.281,-2.169,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
Biphenyl,-4.345,-4.079,c1ccc(cc1)c2ccccc2
"3,5-Dimethylpyridine",0.38,-2.0980000000000003,Cc1cncc(C)c1
"2,2-Dimethylpentanol",-1.52,-1.719,CCCC(C)(C)CO
chloralose,-1.84,-1.8869999999999998,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl 
2-Bromotoluene,-2.23,-3.667,Cc1ccccc1Br
Phenanthrene,-5.26,-4.518,c1ccc2c(c1)ccc3ccccc32
Epiandrosterone,-4.16,-3.8819999999999997,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
Flurochloridone,-4.047,-4.749,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O
"2,2',3,3',4,4'-PCB",-8.01,-7.192,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
Dicofol,-5.666,-6.268,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
Toluene ,-2.21,-2.713,Cc1ccccc1
Acenapthene,-4.63,-3.792,C1Cc2cccc3cccc1c23
2-Methylphenol,-0.62,-2.281,Cc1ccccc1O
"1,4-Dinitrobenzene",-3.39,-2.281,O=N(=O)c1ccc(cc1)N(=O)=O
"2,3-Dimethylbutane",-3.65,-2.5839999999999996,CC(C)C(C)C
Atrazine,-3.85,-3.069,CCNc1nc(Cl)nc(NC(C)C)n1
Ethanol,1.1,0.02,CCO
Fluoromethalone,-4.099,-3.5069999999999997,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14
uracil,-1.4880000000000002,-0.441,O=c1cc[nH]c(=O)[nH]1 
Ancymidol,-2.596,-2.181,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
oryzalin,-5.16,-3.784,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O
DDD,-7.2,-6.007999999999999,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
Ethyl hexanoate,-2.35,-2.254,CCCCCC(=O)OCC
4-Chlorophenol ,-0.7,-2.761,Oc1ccc(Cl)cc1
3-Octanoyloxymethylphenytoin,-6.523,-4.84,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
2-Ethyl-2-hexanal,-2.46,-2.081,CCCC=C(CC)C=O
"2,4,6-Trinitrotoluene",-3.22,-2.6060000000000003,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
Quinonamid,-5.03,-3.988,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O
Cyanazine,-3.15,-2.49,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
Primidone,-2.64,-1.8969999999999998,CCC1(C(=O)NCNC1=O)c2ccccc2
Fludrocortisone,-3.43,-3.1719999999999997,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO 
Salicin,-0.85,-0.975,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
Phthalonitrile,-2.38,-1.7169999999999999,N#Cc1ccccc1C#N
"1,3-diethylthiourea",-1.46,-1.028,CCNC(=S)NCC
Barbital,-2.4,-1.265,O=C1NC(=O)NC(=O)C1(CC)CC
Cycloheptane,-3.51,-2.9160000000000004,C1CCCCCC1
RTI 24,-5.36,-4.423,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 
Fenitrothion,-4.04,-3.845,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
"2,3',5-PCB",-6.01,-5.7620000000000005,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
2-Iodopropane,-2.09,-2.4859999999999998,CC(C)I
RTI 15,-4.553999999999999,-3.891,CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 
2-Ethyl-1-hexanol,-2.11,-2.089,CCCCC(CC)CO
5-methylcytosine,-1.4580000000000002,-0.257,Nc1c(C)c[nH]c(=O)n1 
"4,4'-PCB",-6.56,-5.2989999999999995,Clc1ccc(cc1)c2ccc(Cl)cc2 
Perylene,-8.804,-6.007000000000001,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
Trichlorfon,-0.22,-1.8659999999999999,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
Chloroxuron,-4.89,-4.477,CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2
Nitrobenzene,-1.8,-2.2880000000000003,O=N(=O)c1ccccc1
alloxan,-1.25,0.436,O=C1NC(=O)C(=O)C(=O)N1 
Benzamide,-0.96,-1.501,NC(=O)c1ccccc1
"2,4',5-PCB",-6.25,-5.7620000000000005,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
phenobarbital,-2.322,-2.272,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 
Formothion,-1.995,-2.0869999999999997,COP(=S)(OC)SCC(=O)N(C)C=O
phenylbutazone,-3.81,-4.0760000000000005,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
"1,2,3-Trimethylbenzene ",-3.2,-3.312,Cc1cccc(C)c1C
"1,2,3,5-Tetrachlorobenzene",-4.63,-4.621,Clc1cc(Cl)c(Cl)c(Cl)c1
1-Octadecanol,-8.4,-5.649,CCCCCCCCCCCCCCCCCCO
1-Butyne,-1.24,-1.092,CCC#C
1-Iodoheptane,-4.81,-3.904,CCCCCCCI
Hexestrol,-4.43,-4.854,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
m-Chlorobromobenzene,-3.21,-3.928,Clc1cccc(Br)c1
Altretamine,-3.364,-2.492,CN(C)c1nc(nc(n1)N(C)C)N(C)C
Napropamide,-3.57,-4.088,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 
2-Methylanthracene,-6.96,-4.87,Cc1ccc2cc3ccccc3cc2c1
Acetonitrile,0.26,0.152,CC#N
alachlor,-3.26,-3.319,CCc1cccc(CC)c1N(COC)C(=O)CCl 
2-pyrrolidone,1.07,0.243,O=C1CCCN1
Glyceryl triacetate,-0.6,-1.285,CC(=O)OCC(COC(=O)C)OC(=O)C
Etofenprox,-8.6,-6.896,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
rhodanine,-1.77,-0.396,C1SC(=S)NC1(=O)
3-Pentanoyloxymethylphenytoin,-4.678,-3.81,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
Reposal,-2.696,-2.781,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3
Ethyl acetate,-0.04,-0.77,CCOC(=O)C
Benfluralin,-5.53,-5.205,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
thymine,-1.506,-0.78,Cc1c[nH]c(=O)[nH]c1=O 
p-terphenyl,-7.11,-5.7410000000000005,c1ccc(cc1)c2ccc(cc2)c3ccccc3
"1,3-Dinitrobenzene",-2.29,-2.281,O=N(=O)c1cccc(c1)N(=O)=O
2-Ethyl pyridine,0.51,-2.051,CCc1ccccn1
"1,2-Dibromobenzene",-3.5,-4.172,Brc1ccccc1Br
Ethyl benzoate ,-2.32,-2.775,CCOC(=O)c1ccccc1
Mecarbam,-2.5180000000000002,-3.738,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
Linuron,-3.592,-3.5810000000000004,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
ethyl cinnamate,-3.0,-3.0980000000000003,CCOC(=O)C=Cc1ccccc1
cis-2-Pentene,-2.54,-2.076,CC/C=C\C
3-Methyl-1-Butene,-2.73,-1.994,CC(C)C=C
Mebendazole,-3.88,-4.118,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3
1-Chlorobutane,-2.03,-1.94,CCCCCl
"2,4-Dimethylpyridine",0.38,-2.0980000000000003,Cc1ccnc(C)c1
Pentobarbital,-2.39,-2.312,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC
chloroacetamide,-0.02,-0.106,NC(=O)CCl 
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,-9.589,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
3-Methyl-3-pentanol,-0.36,-1.308,CCC(C)(O)CC
1-Chloropropane,-1.47,-1.585,CCCCl
"1,4-Difluorobenzene",-1.97,-2.636,Fc1ccc(F)cc1
Propionaldehyde,0.58,-0.39399999999999996,CCC=O
"5,6-Dimethylchrysene",-7.01,-6.265,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
Equilin,-5.282,-3.555,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
Succinimide,0.3,0.282,O=C1CCC(=O)N1
Bendroflumethiazide,-3.59,-3.741,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
Fenpropathrin,-6.025,-6.15,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
3-Methyl-2-pentanol,-0.72,-1.381,CCC(C)CCO
Coumaphos,-5.382000000000001,-5.04,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2
"2,3,5-Trichlorophenol",-2.67,-3.78,Oc1cc(Cl)cc(Cl)c1Cl
5-Ethyl-5-(3-methylbutyl)barbital,-2.658,-2.312,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C
Chlorodibromethane,-1.9,-2.54,ClC(Br)Br
"1,4-Dichlorobenzene",-3.27,-3.5580000000000003,Clc1ccc(Cl)cc1
Fenarimol,-4.38,-4.1080000000000005,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
Butanethiol ,-2.18,-1.676,CCCCS
Bibenzyl ,-4.62,-4.301,C(Cc1ccccc1)c2ccccc2
"2,4-Dimethylpentane",-4.26,-2.938,CC(C)CC(C)C
Metolachlor,-2.73,-3.431,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl 
Benzo(e)pyrene,-7.8,-6.007000000000001,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43
4-Pentene-1-ol,-0.15,-0.7909999999999999,OCCCC=C
"7,12-Dimethylbenz(a)anthracene",-7.02,-6.297000000000001,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
Bromodichloromethane,-1.54,-2.176,BrC(Cl)Cl
"1,2,4-Trichlorobenzene",-3.59,-4.083,Clc1ccc(Cl)c(Cl)c1
fensulfothion,-2.3,-3.283,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O 
Difenoxuron,-4.16,-3.928,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2
styrene oxide,-1.6,-1.8259999999999998,C1OC1c2ccccc2 
5-Nonanone,-2.58,-2.329,CCCCC(=O)CCCC
eucalyptol,-1.64,-2.5789999999999997,CC12CCC(CC1)C(C)(C)O2 
4-Heptanol,-1.4,-1.6780000000000002,CCCC(O)CCC
diethylstilbestrol,-4.07,-5.074,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 
bromopropylate,-4.93,-5.832999999999999,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 
"2,4,6-Trichlorophenol",-2.34,-3.648,Oc1c(Cl)cc(Cl)cc1Cl
"2,2,4,6,6'-PCB",-7.32,-6.545,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
Parathion,-4.66,-3.949,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
1-Decene,-5.51,-3.781,CCCCCCCCC=C
6-aminochrysene,-6.2,-4.849,Nc3cc2c1ccccc1ccc2c4ccccc34 
Anisole,-1.85,-2.3680000000000003,COc1ccccc1
ampyrone,-0.624,-1.192,Cc2c(N)c(=O)n(c1ccccc1)n2C
aminothiazole,-0.36,-1.226,Nc1nccs1 
"2,2',3,3',5,5',6,6'-PCB",-9.15,-8.304,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
indoline,-1.04,-2.195,c2ccc1NCCc1c2 
Isobutylbenzene,-4.12,-3.57,CC(C)Cc1ccccc1
2-Methyl-2-heptanol,-1.72,-2.017,CCCCCC(C)(C)O
p-benzidine,-2.7,-2.613,Nc1ccc(cc1)c2ccc(N)cc2
"1,2-Dibromoethane",-1.68,-2.102,BrCCBr
Piperophos,-4.15,-4.637,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
Ethyl octanoate,-3.39,-2.9619999999999997,CCCCCCCC(=O)OCC
2-Nonanol,-2.74,-2.387,CCCCCCCC(C)O
2-Methylpropan-1-ol,0.1,-0.672,CC(C)CO
phthalimide,-2.61,-1.882,O=C1NC(=O)c2ccccc12 
"1,3-Butadiene",-1.87,-1.376,C=CC=C
Propazine,-4.43,-3.3289999999999997,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
Pyrene,-6.176,-4.957,c1cc2ccc3cccc4ccc(c1)c2c34
m-Fluorobromobenzene,-2.67,-3.467,Fc1cccc(Br)c1
1-Pentadecanol,-6.35,-4.586,CCCCCCCCCCCCCCCO
alloxantin,-1.99,0.919,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
"2,4,6-Trimethylphenol",-2.05,-2.9410000000000003,Cc1cc(C)c(O)c(C)c1
2-Methylnapthalene,-3.77,-3.802,Cc1ccc2ccccc2c1
Fluorene ,-5.0,-4.125,C1c2ccccc2c3ccccc13
m-Chloroaniline,-1.37,-2.392,Nc1cccc(Cl)c1
Trichloroacetonitrile,-2.168,-2.019,ClC(Cl)(Cl)C#N
4-Methylbiphenyl,-4.62,-4.4239999999999995,Cc1ccc(cc1)c2ccccc2
Methyl decanoate,-4.69,-3.3160000000000003,CCCCCCCCCC(=O)OC
"2,3,5,6-Tetrachlorophenol",-3.37,-4.203,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
phenolphthalein,-2.9,-4.59,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 
"2,2',3,4,5-PCB",-7.21,-6.709,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl 
butacarb,-4.24,-4.6419999999999995,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1
1-Butanol,0.0,-0.688,CCCCO
m-Nitrophenol,-1.01,-2.318,Oc1cccc(c1)N(=O)=O
Styrene,-2.82,-2.85,C=Cc1ccccc1
"2,4-Dimethylphenol",-1.19,-2.6210000000000004,Cc1ccc(O)c(C)c1
Nitramine,-3.5610000000000004,-4.479,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
Benzaldehyde,-1.19,-1.999,O=Cc1ccccc1
1-Nitronapthalene,-3.54,-3.4139999999999997,O=N(=O)c1cccc2ccccc12
Fenfuram,-3.3,-2.885,Cc1occc1C(=O)Nc2ccccc2
m-Chloronitrobenzene ,-2.77,-2.9010000000000002,Clc1cccc(c1)N(=O)=O
5-Allyl-5-isopropylbarbital,-1.7080000000000002,-1.706,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
nitroglycerin,-2.22,-2.029,O=N(=O)OCC(CON(=O)=O)ON(=O)=O 
2-hydroxypteridine,-1.9469999999999998,-1.4040000000000001,Oc2ncc1nccnc1n2
Androstenedione,-3.69,-3.3930000000000002,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
RTI 9,-3.68,-3.784,O2c1ccccc1N(CC)C(=O)c3ccccc23 
4-Chloroanisole,-2.78,-3.057,COc1ccc(Cl)cc1
Terbufos,-4.755,-4.367,CCOP(=S)(OCC)SCSC(C)(C)C
Urea,0.96,0.8320000000000001,NC(=O)N
cycloate,-3.4,-3.35,CCSC(=O)N(CC)C1CCCCC1 
Epitostanol,-5.41,-4.545,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O
2-Methylpropene,-2.33,-1.5730000000000002,CC(=C)C
Clonazepam,-3.4989999999999997,-3.707,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O
Propanil,-3.0,-3.6439999999999997,CCC(=O)Nc1ccc(Cl)c(Cl)c1
Maltose,0.358,1.071,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
p-Bromoiodobenzene,-4.56,-4.754,Brc1ccc(I)cc1
1-Nonyne ,-4.24,-2.864,CCCCCCCC#C
Flumetralin,-6.78,-6.584,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O
Methyl acrylate,-0.22,-0.878,COC(=O)C=C
"1,4-Pentadiene ",-2.09,-1.758,C=CCC=C
dimethirimol,-2.24,-3.57,CCCCc1c(C)nc(nc1O)N(C)C 
"9,10-Dimethylanthracene",-6.57,-5.228,Cc1c2ccccc2c(C)c3ccccc13
Butan-2-ol,0.47,-0.616,CCC(C)O
